,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,39.0,85.0,0.459,9.0,25.0,0.36,21.0,26.0,0.808,10.0,32.0,42.0,24.0,11.0,4.0,13.0,17.0,108.0,,0.56,0.512,0.294,0.306,23.8,84.2,52.5,61.5,11.2,9.1,11.9,100.0,110.1,108.0,,,10.0,20.0,1.0,4.0,9.0,1.0,5.0,6.0,1.0,3.0,9.0,12.0,6.0,2.0,1.0,3.0,3.0,23.0,12.0,1.0,1.0,1.0,1.333,11.4,37.9,24.0,36.6,8.4,5.5,50.0,29.8,159.0,117.0,ORL,108,0,1,240.0,240.0,38.0,82.0,0.463,12.0,38.0,0.316,18.0,20.0,0.9,6.0,32.0,38.0,24.0,8.0,5.0,17.0,20.0,106.0,,0.584,0.537,0.463,0.244,15.8,76.2,47.5,63.2,8.2,8.3,15.8,100.0,108.0,110.1,,,9.0,18.0,0.857,2.0,8.0,1.0,10.0,11.0,1.0,3.0,13.0,16.0,9.0,3.0,2.0,6.0,5.0,22.0,10.0,1.0,1.0,1.0,1.571,9.7,38.0,24.6,43.2,18.0,5.0,28.6,30.6,183.0,116.0,MIN,106,1,2024,2024-02-02,True
1,240.0,240.0,38.0,82.0,0.463,12.0,38.0,0.316,18.0,20.0,0.9,6.0,32.0,38.0,24.0,8.0,5.0,17.0,20.0,106.0,,0.584,0.537,0.463,0.244,15.8,76.2,47.5,63.2,8.2,8.3,15.8,100.0,108.0,110.1,,,9.0,18.0,0.857,2.0,8.0,1.0,10.0,11.0,1.0,3.0,13.0,16.0,9.0,3.0,2.0,6.0,5.0,22.0,10.0,1.0,1.0,1.0,1.571,9.7,38.0,24.6,43.2,18.0,5.0,28.6,30.6,183.0,116.0,MIN,106,1,0,240.0,240.0,39.0,85.0,0.459,9.0,25.0,0.36,21.0,26.0,0.808,10.0,32.0,42.0,24.0,11.0,4.0,13.0,17.0,108.0,,0.56,0.512,0.294,0.306,23.8,84.2,52.5,61.5,11.2,9.1,11.9,100.0,110.1,108.0,,,10.0,20.0,1.0,4.0,9.0,1.0,5.0,6.0,1.0,3.0,9.0,12.0,6.0,2.0,1.0,3.0,3.0,23.0,12.0,1.0,1.0,1.0,1.333,11.4,37.9,24.0,36.6,8.4,5.5,50.0,29.8,159.0,117.0,ORL,108,0,2024,2024-02-02,False
2,240.0,240.0,46.0,83.0,0.554,11.0,29.0,0.379,18.0,22.0,0.818,6.0,40.0,46.0,32.0,7.0,8.0,14.0,17.0,121.0,,0.653,0.62,0.349,0.265,17.6,81.6,55.4,69.6,7.1,19.5,13.1,100.0,122.1,101.9,,,11.0,16.0,1.0,4.0,9.0,1.0,6.0,7.0,1.0,2.0,10.0,12.0,14.0,2.0,3.0,4.0,4.0,29.0,18.0,1.0,1.0,0.667,1.0,13.1,35.4,25.1,50.6,4.3,12.8,36.4,33.3,206.0,113.0,GSW,121,0,1,240.0,240.0,35.0,87.0,0.402,14.0,46.0,0.304,17.0,24.0,0.708,9.0,28.0,37.0,30.0,7.0,4.0,13.0,20.0,101.0,,0.518,0.483,0.529,0.276,18.4,82.4,44.6,85.7,7.1,7.4,11.8,100.0,101.9,122.1,,,8.0,21.0,0.6,5.0,9.0,0.667,9.0,11.0,1.0,4.0,8.0,12.0,5.0,2.0,2.0,4.0,5.0,27.0,-3.0,0.847,0.833,1.0,0.667,14.1,40.5,24.9,62.3,4.6,5.7,22.2,38.5,159.0,129.0,MEM,101,1,2024,2024-02-02,True
3,240.0,240.0,35.0,87.0,0.402,14.0,46.0,0.304,17.0,24.0,0.708,9.0,28.0,37.0,30.0,7.0,4.0,13.0,20.0,101.0,,0.518,0.483,0.529,0.276,18.4,82.4,44.6,85.7,7.1,7.4,11.8,100.0,101.9,122.1,,,8.0,21.0,0.6,5.0,9.0,0.667,9.0,11.0,1.0,4.0,8.0,12.0,5.0,2.0,2.0,4.0,5.0,27.0,-3.0,0.847,0.833,1.0,0.667,14.1,40.5,24.9,62.3,4.6,5.7,22.2,38.5,159.0,129.0,MEM,101,1,0,240.0,240.0,46.0,83.0,0.554,11.0,29.0,0.379,18.0,22.0,0.818,6.0,40.0,46.0,32.0,7.0,8.0,14.0,17.0,121.0,,0.653,0.62,0.349,0.265,17.6,81.6,55.4,69.6,7.1,19.5,13.1,100.0,122.1,101.9,,,11.0,16.0,1.0,4.0,9.0,1.0,6.0,7.0,1.0,2.0,10.0,12.0,14.0,2.0,3.0,4.0,4.0,29.0,18.0,1.0,1.0,0.667,1.0,13.1,35.4,25.1,50.6,4.3,12.8,36.4,33.3,206.0,113.0,GSW,121,0,2024,2024-02-02,False
4,240.0,240.0,43.0,93.0,0.462,17.0,44.0,0.386,7.0,12.0,0.583,10.0,30.0,40.0,28.0,5.0,1.0,12.0,18.0,110.0,,0.56,0.554,0.473,0.129,20.0,85.7,47.1,65.1,5.1,2.1,10.9,100.0,112.1,138.6,,,8.0,20.0,0.667,6.0,10.0,0.6,3.0,4.0,1.0,4.0,15.0,19.0,15.0,2.0,1.0,5.0,5.0,22.0,-2.0,0.868,0.75,1.0,2.0,29.7,60.4,31.5,61.3,2.8,2.9,50.0,38.8,240.0,144.0,SAC,110,0,1,240.0,240.0,51.0,88.0,0.58,23.0,41.0,0.561,11.0,17.0,0.647,5.0,40.0,45.0,36.0,10.0,5.0,8.0,15.0,136.0,,0.712,0.71,0.466,0.193,14.3,80.0,52.9,70.6,10.2,10.2,7.7,100.0,138.6,112.1,,,11.0,20.0,1.0,6.0,11.0,1.0,3.0,4.0,1.0,1.0,13.0,14.0,7.0,2.0,2.0,2.0,4.0,29.0,28.0,1.5,1.5,1.0,1.0,5.7,45.0,28.5,36.1,4.5,35.2,100.0,29.5,276.0,123.0,CLE,136,1,2024,2024-02-05,False
5,240.0,240.0,51.0,88.0,0.58,23.0,41.0,0.561,11.0,17.0,0.647,5.0,40.0,45.0,36.0,10.0,5.0,8.0,15.0,136.0,,0.712,0.71,0.466,0.193,14.3,80.0,52.9,70.6,10.2,10.2,7.7,100.0,138.6,112.1,,,11.0,20.0,1.0,6.0,11.0,1.0,3.0,4.0,1.0,1.0,13.0,14.0,7.0,2.0,2.0,2.0,4.0,29.0,28.0,1.5,1.5,1.0,1.0,5.7,45.0,28.5,36.1,4.5,35.2,100.0,29.5,276.0,123.0,CLE,136,1,0,240.0,240.0,43.0,93.0,0.462,17.0,44.0,0.386,7.0,12.0,0.583,10.0,30.0,40.0,28.0,5.0,1.0,12.0,18.0,110.0,,0.56,0.554,0.473,0.129,20.0,85.7,47.1,65.1,5.1,2.1,10.9,100.0,112.1,138.6,,,8.0,20.0,0.667,6.0,10.0,0.6,3.0,4.0,1.0,4.0,15.0,19.0,15.0,2.0,1.0,5.0,5.0,22.0,-2.0,0.868,0.75,1.0,2.0,29.7,60.4,31.5,61.3,2.8,2.9,50.0,38.8,240.0,144.0,SAC,110,0,2024,2024-02-05,True
6,240.0,240.0,35.0,92.0,0.38,11.0,38.0,0.289,10.0,12.0,0.833,16.0,30.0,46.0,19.0,5.0,3.0,20.0,15.0,91.0,,0.468,0.44,0.413,0.13,28.6,63.8,44.7,54.3,5.1,6.3,17.1,100.0,92.9,133.8,,,8.0,24.0,0.545,3.0,10.0,1.0,5.0,6.0,1.0,7.0,7.0,12.0,6.0,2.0,2.0,4.0,4.0,19.0,-11.0,0.696,0.688,0.7,0.545,20.4,22.0,19.0,28.9,2.7,8.6,33.8,31.6,124.0,140.0,MEM,91,0,1,240.0,240.0,48.0,99.0,0.485,19.0,51.0,0.373,16.0,18.0,0.889,17.0,40.0,57.0,30.0,12.0,4.0,10.0,13.0,131.0,,0.613,0.581,0.515,0.182,36.2,71.4,55.3,62.5,12.3,7.4,8.6,100.0,133.8,92.9,,,12.0,22.0,1.0,6.0,12.0,1.0,4.0,5.0,1.0,5.0,7.0,8.0,7.0,2.0,2.0,2.0,2.0,34.0,27.0,1.0,1.0,1.0,1.0,42.3,35.5,38.6,60.8,10.1,6.4,25.8,34.3,218.0,101.0,BOS,131,1,2024,2024-02-04,False
7,240.0,240.0,48.0,99.0,0.485,19.0,51.0,0.373,16.0,18.0,0.889,17.0,40.0,57.0,30.0,12.0,4.0,10.0,13.0,131.0,,0.613,0.581,0.515,0.182,36.2,71.4,55.3,62.5,12.3,7.4,8.6,100.0,133.8,92.9,,,12.0,22.0,1.0,6.0,12.0,1.0,4.0,5.0,1.0,5.0,7.0,8.0,7.0,2.0,2.0,2.0,2.0,34.0,27.0,1.0,1.0,1.0,1.0,42.3,35.5,38.6,60.8,10.1,6.4,25.8,34.3,218.0,101.0,BOS,131,1,0,240.0,240.0,35.0,92.0,0.38,11.0,38.0,0.289,10.0,12.0,0.833,16.0,30.0,46.0,19.0,5.0,3.0,20.0,15.0,91.0,,0.468,0.44,0.413,0.13,28.6,63.8,44.7,54.3,5.1,6.3,17.1,100.0,92.9,133.8,,,8.0,24.0,0.545,3.0,10.0,1.0,5.0,6.0,1.0,7.0,7.0,12.0,6.0,2.0,2.0,4.0,4.0,19.0,-11.0,0.696,0.688,0.7,0.545,20.4,22.0,19.0,28.9,2.7,8.6,33.8,31.6,124.0,140.0,MEM,91,0,2024,2024-02-04,True
8,240.0,240.0,53.0,89.0,0.596,14.0,29.0,0.483,16.0,19.0,0.842,7.0,29.0,36.0,31.0,12.0,5.0,9.0,21.0,136.0,,0.698,0.674,0.326,0.213,21.9,69.0,48.6,58.5,12.2,10.2,8.5,100.0,137.9,126.8,,,12.0,17.0,1.0,6.0,8.0,1.0,4.0,4.0,1.0,3.0,6.0,9.0,9.0,4.0,2.0,2.0,5.0,33.0,19.0,1.042,1.0,0.545,1.0,17.4,26.5,22.6,50.6,8.1,11.2,100.0,28.5,179.0,137.0,LAC,136,0,1,240.0,240.0,45.0,89.0,0.506,17.0,40.0,0.425,18.0,24.0,0.75,13.0,25.0,38.0,28.0,5.0,3.0,16.0,18.0,125.0,,0.628,0.601,0.449,0.27,31.0,78.1,51.4,62.2,5.1,5.0,13.8,100.0,126.8,137.9,,,11.0,18.0,1.0,6.0,9.0,0.833,8.0,9.0,1.0,5.0,11.0,13.0,11.0,2.0,1.0,4.0,4.0,28.0,16.0,1.05,1.05,1.0,3.0,17.5,67.2,29.0,46.3,3.7,5.5,33.3,29.3,222.0,143.0,DET,125,1,2024,2024-02-02,True
9,240.0,240.0,45.0,89.0,0.506,17.0,40.0,0.425,18.0,24.0,0.75,13.0,25.0,38.0,28.0,5.0,3.0,16.0,18.0,125.0,,0.628,0.601,0.449,0.27,31.0,78.1,51.4,62.2,5.1,5.0,13.8,100.0,126.8,137.9,,,11.0,18.0,1.0,6.0,9.0,0.833,8.0,9.0,1.0,5.0,11.0,13.0,11.0,2.0,1.0,4.0,4.0,28.0,16.0,1.05,1.05,1.0,3.0,17.5,67.2,29.0,46.3,3.7,5.5,33.3,29.3,222.0,143.0,DET,125,1,0,240.0,240.0,53.0,89.0,0.596,14.0,29.0,0.483,16.0,19.0,0.842,7.0,29.0,36.0,31.0,12.0,5.0,9.0,21.0,136.0,,0.698,0.674,0.326,0.213,21.9,69.0,48.6,58.5,12.2,10.2,8.5,100.0,137.9,126.8,,,12.0,17.0,1.0,6.0,8.0,1.0,4.0,4.0,1.0,3.0,6.0,9.0,9.0,4.0,2.0,2.0,5.0,33.0,19.0,1.042,1.0,0.545,1.0,17.4,26.5,22.6,50.6,8.1,11.2,100.0,28.5,179.0,137.0,LAC,136,0,2024,2024-02-02,False
